citation,prey_taxon,prey_type_add,prey_kingdom_add,prey_phylum_add,prey_subphylum_add,prey_superclass_add,prey_class_add,prey_subclass_add,prey_order_add,prey_family_add,prey_species_add
"Cable, lek E. (1927). Food of Bullheads in Certain Lakes of Eastern South Dakota (Doctoral dissertation,  niversity of South Dakota).",bivalves,,Animalia,Mollusca,,,Bivalvia,,,,
"Madenjian, C P., Desorcie, T. J., & Stedman, R. M. (1998). Ontogenic and spatial patterns in diet and growth of lake trout in lekake Michigan. Transactions of the  merican Fisheries Society, 127(2), 236-252.",bloater,,Animalia,Chordata,,,Actinopterygii,,Clupeiformes,Clupeidae,
"Villares-Junior, G  ., Cardone, I. B., & Goitein, R. (2016). Comparative feeding ecology of four syntopic Hypostomus species in a Brazilian southeastern river. Brazilian Journal of Biology, 76(3), 692-699.",blue algae,,,Cyanobacteria,,,Cyanophyceae,,,,
"Muoneke, M I., Henry, C. C., & Maughan, O. lek. (1992). Population structure and food habits of white crappie Pomoxis annularis Rafinesque in a turbid Oklahoma reservoir. Journal of Fish Biology, 41(4), 647-654.",bluegill,,Animalia,Chordata,,,Actinopterygii,,Perciformes,Centrarchidae,Lepomis macrochirus
"Quist, M C., Bower, M. R., & Hubert, W.  . (2006). Summer food habits and trophic overlap of roundtail chub and creek chub in Muddy Creek, Wyoming. The Southwestern Naturalist, 51(1), 22-27.",bluehead sucker,,Animalia,Chordata,,,Actinopterygii,,Cypriniformes,Cyprinidae,Catostomus discobolus
"Nilsson, N  ., & Northcote, T. G. (1981). Rainbow trout (Salmo gairdneri) and cutthroat trout (S. clarki) interactions in coastal British Columbia lakes. Canadian Journal of Fisheries and Aquatic Sciences, 38(10), 1228-1246.",bombus,,Animalia,Arthropoda,,,Insecta,,Hymenoptera,Apidae,Bombus sp.
"Wedderburn, S D., Bice, C. M., & Barnes, T. C. (2 15). Prey selection and diet overlap of native golden perch and alien redfin perch under contrasting hydrological conditions. Australian Journal of Zoology, 62(5), 374-381.",bony herring,,Animalia,Chordata,,,Actinopterygii,,Clupeiformes,Clupeidae,
no results in search,bosmina,,Animalia,Arthropoda,Crustacea,,Branchiopoda,,Cladocera,Bosminidae,Bosmina sp.
"Weliange, W S., &  marasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri lekanka. Asian Fisheries Science, 16(3/4), 203-214.",bosmina,,Animalia,Arthropoda,Crustacea,,Branchiopoda,,Cladocera,Bosminidae,Bosmina sp.
NA,bosmina,,Animalia,Arthropoda,Crustacea,,Branchiopoda,,Cladocera,Bosminidae,Bosmina sp.
"Marszal, L., Grzybkowska, M., Przybylski, M., & Valladolid, M. (2004). Feeding activity of spined loach Cobitis sp. in Lake Lucien, Poland. FOLIA BIOLOGICA-KRAKOW-, 51, 159-165.",bosmina longirostris,,Animalia,Arthropoda,Crustacea,,Branchiopoda,,Cladocera,Bosminidae,Bosmina longirostris
NA,bosmina longirostris,,Animalia,Arthropoda,Crustacea,,Branchiopoda,,Cladocera,Bosminidae,Bosmina longirostris
"Balik, I., Karasahin, B., Özkök, R., Çubuk, H., & Uysal, R. (2003). Diet of silver crucian carp Carasssius gibelio in Lake Egirdir. Turkish Journal of Fisheries and Aquatic Sciences, 3(2), 87-91.",bosmina sp,,Animalia,Arthropoda,Crustacea,,Branchiopoda,,Cladocera,Bosminidae,Bosmina sp.
"Silva, Z, Nascimento, P. lek. C. D., Vitule, J. R. S., Frehse, F. D.  ., Ferraz, M. S. O., & Mourgués-Schurter, L. R. (2019). Diet and resource sharing by two Pimelodidae species in a Southeastern Brazilian reservoir. Biota Neotropica, 19(3).",bosmina sp,,Animalia,Arthropoda,Crustacea,,Branchiopoda,,Cladocera,Bosminidae,Bosmina sp.
NA,bosmirta,,Animalia,Arthropoda,Crustacea,,Branchiopoda,,Cladocera,Bosminidae,Bosmina sp.
"Huish, M T. (1957). Food habits of three centrarchidae in lekake George, Florida. In Proc.  nn. Conf. SE Game Fish Comm (Vol. 11, pp. 293-302)",bottom debris,detritus,,,,,,,,,
"Turner, C lek. (1922). Notes on the food habits of young of Cottus ictalops (millers thumb).",bottom debris,detritus,,,,,,,,,
"tobatele, O lek., & Ugwumba, A. O. (2011). Condition factor and diet of Chrysichthys nigrodigitatus and Chrysichthys auratus (Siluriformes: Bagridae) from Aiba Reservoir, Iwo, Nigeria. Revista de Biología Tropical, 59(3), 1233-1244.",brachionus,,Animalia,Rotifera,,,Monogononta,,Plioma,Brachionidae,Brachionus sp.
"lcaraz, C, & García-Berthou, lek. (2007). Food of an endangered cyprinodont (Aphanius iberus): ontogenetic diet shift and prey electivity. Environmental Biology of Fishes, 78(3), 193-207.",brachionus plicatilis,,Animalia,Rotifera,,,Monogononta,,Plioma,Brachionidae,Brachionus plicatilis
"Olurin, lek B., &  wolesi, O. O. (1991). Food of some fishes of Owa Stream, south-western Nigeria. Archiv fuer Hydrobiologie, 122(1), 95-103.",brachionus sp,,Animalia,Rotifera,,,Monogononta,,Plioma,Brachionidae,Brachionus sp.
"Guilbard, F R. É. D. É. R. I. C., Munro, J. lek.  . N., Dumont, P. I. E. R. R. E., Hatin, D. A. N. I. E. L., & Fortin, R. É. J. E. A. N. (2007). Feeding ecology of Atlantic sturgeon and lake sturgeon co-occurring in the St. Lawrence estuarine transition zone. In American Fisheries Society Symposium (Vol. 56, p. 85). American Fisheries Society.",brachycentrids,,Animalia,Arthropoda,,,Insecta,,Trichoptera,Brachycentridae,Brachycentrus
"lekeonard, J W. (1942). Some observations on the winter feeding habits of brook trout fingerlings in relation to natural food organisms present. Transactions of the  merican Fisheries Society, 71(1), 219-227.",brachycentrus americanus_larvae,,Animalia,Arthropoda,,,Insecta,,Trichoptera,Brachycentridae,Brachycentrus americanus
"kin, S, Sahin, C., Verep, B., Turan, D., Gözler, A. M., Bozkurt, A., ... & Sargin, I. (2011). Feeding habits of introduced lekuropean perch (Perca fluviatilis) in an impounded large river system in Turkey. African Journal of Agricultural Research, 6(18), 4293-4307.",brachyura sp_crabs,,Animalia,Arthropoda,Crustacea,,Malacostraca,,Decapoda,Pleocyemata,Brachyura sp.
"García- lzate, C A., Román-Valencia, C., & Barrero, A. M. (2012). Biología alimentaria y reproductiva de Farlowella vittata (Siluriformes: lekoricariidae) en la cuenca del río Güejar, Orinoquía, Colombia. Revista de Biología Tropical, 60(4), 1873-1888.",branchionus sp,,Animalia,Rotifera,,,Monogononta,,Plioma,Brachionidae,Brachionus sp.
"Jo, H Y.  . N. B. I. N., Yoon, J. D., lekim, J. H., Jeong, K. S., Do, Y. U. N. O., & Joo, G. J. (2016). Diet shifts and delayed piscivory specialisation during the ontogenesis of the largemouth bass Micropterus salmoides (Lacepede, 1802) in the Nakdong River and Upo Wetlands, South Korea. Indian J. Fish, 63(4), 48-54.",branchiopoda,,Animalia,Arthropoda,Crustacea,,Branchiopoda,,,,
"O'lekelley, C T., & Powers, S. L. (2007). Life-history Aspects of Hypentelium etowanum (Alabama Hog Sucker)(Actinopterygii: Catostomidae) in Northern Georgia. Southeastern Naturalist, 6(3), 479-490.",branchiopoda,,Animalia,Arthropoda,Crustacea,,Branchiopoda,,,,
"Stefani, P M., & Rocha, O. (2 09). Diet composition of Plagioscion squamosissimus (Heckel, 1840), a fish introduced into the Tietê River system. Brazilian Journal of Biology, 69(3), 805-812.",brundiniella sp_larvae,,Animalia,Arthropoda,,,Insecta,,Diptera,Chironomidae,Brundiniella sp.
"Mosepele, lek, Mosepele, B., Wolski, P., & Kolding, J. (2 12). DYNAMICS OF THE FEEDING ECOLOGY OF SELECTED FISH SPECIES FROM THE OKAVANGO RIVER DELTA, BOTSWANA. Acta Ichthyologica et Piscatoria, 42(4).",brycinus lateralis,,Animalia,Chordata,,,Actinopterygii,,Characiformes,Alestidae,Brycinus lateralis
"Delariva, R lek., &  gostinho, A. A. (2001). Relationship between morphology and diets of six neotropical loricariids. Journal of Fish Biology, 58(3), 832-847.",bryophyta,,Plantae,,,,,,,,
