prey_taxon,prey_stage,prey_kingdom,prey_class,prey_order,prey_family,prey_species,prey_taxon_cleaned,prey_phylum,prey_superclass,prey_subclass,prey_subphylum,prey_type,prey_origin
unidentified hydracarina,unknown,Animalia,Arachnida,Trombidiformes,NA,NA,NA,Arthropoda,NA,Acari,NA,NA,aquatic
unidentified hemiptera_adult,adults,Animalia,Insecta,Hemiptera,NA,NA,NA,Arthropoda,NA,NA,NA,NA,aquatic or terrestrial
unidentified food,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unidentified,aquatic or terrestrial
unidentified fish,unknown,Animalia,NA,NA,NA,NA,NA,NA,Osteichthyes,NA,NA,NA,aquatic
unidentified dipterous_adults,adults,Animalia,Insecta,Diptera,NA,NA,NA,Arthropoda,NA,NA,NA,NA,aquatic or terrestrial
unidentified decapoda,unknown,Animalia,Malcostraca,Decapoda,NA,NA,NA,Arthropoda,NA,NA,Crustacea,NA,aquatic
unidentified cyprinidae,unknown,Animalia,Actinopterygii,Cypriniformes,Cyprinidae,NA,NA,Chordata,Osteichthyes,NA,NA,NA,aquatic
unidentified copepods,unknown,Animalia,Hexanauplia,NA,NA,NA,NA,NA,NA,Copepoda,NA,NA,aquatic
unidentified coleoptera_adult,adults,Animalia,Insecta,Coleoptera,NA,NA,NA,Arthropoda,NA,NA,NA,NA,aquatic or terrestrial
unidentified centrachidae,unknown,Animalia,Actinopterygii,Perciformes,Centrarchidae,NA,NA,Chordata,Osteichthyes,NA,NA,NA,aquatic
unidentified algae,unknown,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aquatic
unidentified adults,adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unidentified,aquatic or terrestrial
unidentified adult_62,adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unidentified,aquatic or terrestrial
unidentified adult_55,adults,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unidentified,aquatic or terrestrial
unidentified 53,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unidentified,aquatic or terrestrial
unidentified 52,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unidentified,aquatic or terrestrial
unidentified 51,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unidentified,aquatic or terrestrial
unidentified 47,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unidentified,aquatic or terrestrial
unidentified 45,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unidentified,aquatic or terrestrial
unidentified 34,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unidentified,aquatic or terrestrial
unidentified 25,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unidentified,aquatic or terrestrial
unidentified,unknown,Metazoa,Clitellata,NA,NA,unidentified,NA,NA,NA,NA,NA,NA,aquatic or terrestrial
unidentifiable_vegetal_matter,unknown,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aquatic or terrestrial
unidentifiable,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unidentified,aquatic or terrestrial
unidentifed_parts,unknown,Metazoa,Clitellata,NA,NA,NA,NA,NA,NA,NA,NA,NA,aquatic or terrestrial
unidentifed_organic_material,unknown,Metazoa,Clitellata,NA,NA,NA,NA,NA,NA,NA,NA,NA,aquatic or terrestrial
unidentifed_insects,unknown,Animalia,Insecta,NA,NA,NA,Insecta,NA,NA,NA,NA,NA,aquatic or terrestrial
unidentifed_fsh,unknown,Metazoa,Clitellata,NA,NA,NA,NA,NA,NA,NA,NA,NA,aquatic or terrestrial
unidentifed trichoptera,unknown,Animalia,Insecta,Trichoptera,NA,NA,NA,Arthropoda,NA,NA,NA,NA,aquatic or terrestrial
unidentifed remains,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unidentified,aquatic or terrestrial
unidentifed parts,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unidentified,aquatic or terrestrial
unidentifed orthoptera,unknown,Animalia,Insecta,Orthoptera,NA,NA,NA,Arthropoda,NA,NA,NA,NA,aquatic or terrestrial
unidentifed odonata,unknown,Animalia,Insecta,Odonata,NA,NA,NA,Arthropoda,NA,NA,NA,NA,aquatic
unidentifed invertebrates,unknown,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aquatic or terrestrial
unidentifed insects,unknown,Animalia,Insecta,NA,NA,NA,NA,Arthropoda,NA,NA,NA,NA,aquatic or terrestrial
unidentifed insecta,unknown,Animalia,Insecta,NA,NA,NA,NA,Arthropoda,NA,NA,NA,NA,aquatic or terrestrial
unidentifed hymenoptera,unknown,Animalia,Insecta,Hymenoptera,NA,NA,NA,Arthropoda,NA,NA,NA,NA,aquatic or terrestrial
unidentifed hemiptera,unknown,Animalia,Insecta,Hemiptera,NA,NA,NA,Arthropoda,NA,NA,NA,NA,aquatic or terrestrial
unidentifed gastropoda,unknown,Animalia,Gastropoda,NA,NA,NA,NA,Arthropoda,NA,NA,NA,NA,aquatic or terrestrial
unidentifed fshes,unknown,Animalia,NA,NA,NA,NA,NA,NA,Osteichthyes,NA,NA,NA,aquatic
