type_fishmatch,type_of_fish,fish_order,fish_family,fish_species,fish_class,fish_superclass
Micropterus salmoides,Micropterus salmoides,Perciformes,Centrarchidae,Micropterus salmoides,Actinopterygii,Osteichthyes
Micropterus salmoides,Micropterus salmoides,Perciformes,Centrarchidae,Micropterus salmoides,Actinopterygii,Osteichthyes
Amblophiites rupestris,Amblophiites rupestris,Perciformes,Centrarchidae,Ambloplites rupestris,Actinopterygii,NA
Large mouth bass,Large mouth bass,Perciformes,Centrarchidae,Micropterus salmoides,Actinopterygii,NA
large mouth bass,large mouth bass,Perciformes,Centrarchidae,Micropterus salmoides,Actinopterygii,NA
Lepomis gibbosus macrochirus,Lepomis gibbosus macrochirus,Perciformes,Centrarchidae,Lepomis sp.,Actinopterygii,NA
Northern Small Mouth Bass,Northern Small Mouth Bass,Perciformes,Centrarchidae,Micropterus dolomieu,Actinopterygii,NA
Pomoxis annularis Rafinesque,Pomoxis annularis Rafinesque,Perciformes,Centrarchidae,Pomoxis annularis,Actinopterygii,NA
Pumpkinseed fish,Pumpkinseed fish,Perciformes,Centrarchidae,Lepomis gibbosus,Actinopterygii,NA
Rock bass,Rock bass,Perciformes,Centrarchidae,Ambloplites rupestris,Actinopterygii,NA
small mouth bass,small mouth bass,Perciformes,Centrarchidae,Micropterus dolomieu,Actinopterygii,NA
White Crappie,White Crappie,Perciformes,Centrarchidae,Pomoxis annularis,Actinopterygii,NA
Channa obscura,Channa obscura,Perciformes,Channidae,Parachanna obscura,Actinopterygii,Osteichthyes
Jupiaba polylepis,Jupiaba polylepis,Characiformes,Characidae,Jupiaba polylepis,Actinopterygii,Osteichthyes
Moenkhausia loweae,Moenkhausia loweae,Characiformes,Characidae,Moenkhausia loweae,Actinopterygii,Osteichthyes
Moenkhausia sanctaefilomenae,Moenkhausia sanctaefilomenae,Characiformes,Characidae,Moenkhausia sanctaefilomenae,Actinopterygii,Osteichthyes
Tetragonopterus argenteus,Tetragonopterus argenteus,Characiformes,Characidae,Tetragonopterus argenteus,Actinopterygii,Osteichthyes
Exodon paradoxus,Exodon paradoxus,Characiformes,Characidae,Exodon paradoxus,Actinopterygii,Osteichthyes
Ctenobrycon hauxwellianus,Ctenobrycon hauxwellianus,Characiformes,Characidae,Ctenobrycon hauxwellianus,Actinopterygii,Osteichthyes
Creagrutus britskii,Creagrutus britskii,Characiformes,Characidae,Creagrutus britskii,Actinopterygii,Osteichthyes
Poptella compressa,Poptella compressa,Characiformes,Characidae,Poptella compressa,Actinopterygii,Osteichthyes
Moenkhausia intermedia,Moenkhausia intermedia,Characiformes,Characidae,Moenkhausia intermedia,Actinopterygii,Osteichthyes
Aphyocharax,Aphyocharax,Characiformes,Characidae,Aphyocharax sp.,Actinopterygii,NA
Brycon,Brycon,Characiformes,Characidae,Brycon sp.,Actinopterygii,NA
