prey_kingdom_add,prey_phylum,prey_subphylum,prey_superclass,prey_class_add,prey_subclass,prey_order_add,prey_family_add,prey_species,
,,,,,,,,,ephemerida
,,,,,,,,,ephemerida larvae
,,,,,,,,,ephemerida nymph
,,,,,,,,,ephemerida nymphs
,,,,,,,,,ephemeropterans
,,,,,,,,,epiphanes sp
,,,,,,,,,erglypha sp
,,,,,,,,,esolus
,,,,,,,,,esox lucius
,,,,,,,,,etheostoma spp
,,,,,,,,,ettrycercus sp
,,,,,,,,,euastrum sp
,,,,,,,,,euastrunz sp
,,,,,,,,,eubranchipus sp
,,,,,,,,,euciliata vorticella_sp
,,,,,,,,,eucopepoda
,,,,,,,,,euglenophyta
,,,,,,,,,eukieferiella
,,,,,,,,,eukiefferiel pupae
,,,,,,,,,eukiefferiella
,,,,,,,,,eukiefferiella pupae
,,,,,,,,,eurycercus
,,,,,,,,,eurycercus lamellatus
,,,,,,,,,eurycercus sp
,,,,,,,,,eurycerus sp
,,,,,,,,,exos lucius
,,,,,,,,,exuviae
,,,,,,,,,fantail darter
,,,,,,,,,feathers
,,,,,,,,,filament algae
,,,,,,,,,filamentous algae
,,,,,,,,,fine sediment
,,,,,,,,,fins
,,,,,,,,,flathead gudgeon
,,,,,,,,,flydracarina
,,,,,,,,,forcipomyia
,,,,,,,,,formica
,,,,,,,,,formicide
,,,,,,,,,forminadea coleoptera
,,,,,,,,,fpom
,,,,,,,,,fragilaria
,,,,,,,,,fragilaria sp
,,,,,,,,,fragilaria_sp_1_150_<U+00B5>m
,,,,,,,,,fragilaria_sp_2_8_<U+00B5>m_215_<U+00B5>m
,,,,,,,,,fragilaria_sp_3_8_320_<U+00B5>m
,,,,,,,,,fragilaria_sp_4_10_<U+00B5>m_200_250_<U+00B5>m
,,,,,,,,,fragilaria_sp_5_400_<U+00B5>m
,,,,,,,,,fragilaria_sp_6_370_500_<U+00B5>m
,,,,,,,,,fragment crustacean
,,,,,,,,,fragments
