"","site_name","predator_min_length","predator_max_length","predator_average_length","length_units","length_measure","predator_stage","type_of_fish","sample_size","start_date","end_date","sampling_interval","habitat","microhabitat","measurement_type","measurement_units","author","year","journal","citation","table_figure","data_sorted_by","fish_id","notes","prey_taxon","measurement","prey_stage","lon","lat"
"40","Lake  Kainji, Nigeria","6","40",NA,"cm","standard",NA,"Citharinus  citharus","810","10/1/1970","5/1/1972","not stated","lentic",NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_1",NA,"pediastrum_sp","2.8","unknown","4.6037231","10.3619024"
"41","Lake  Kainji, Nigeria","8","52",NA,"cm","standard",NA,"Citharinus  distichodoides","136","10/1/1970","5/1/1972","not stated",NA,NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_2",NA,"pediastrum_sp","4.1","unknown","4.6037231","10.3619024"
"42","Lake  Kainji, Nigeria","15.2","34",NA,"cm","standard",NA,"Citharinus  latus","6","10/1/1970","5/1/1972","not stated",NA,NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_3",NA,"pediastrum_sp","3.1","unknown","4.6037231","10.3619024"
"43","Lake  Kainji, Nigeria","6","40",NA,"cm","standard",NA,"Citharinus  citharus","810","10/1/1970","5/1/1972","not stated","lentic",NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_1",NA,"pleodorina_sp","1.7","unknown","4.6037231","10.3619024"
"44","Lake  Kainji, Nigeria","8","52",NA,"cm","standard",NA,"Citharinus  distichodoides","136","10/1/1970","5/1/1972","not stated",NA,NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_2",NA,"pleodorina_sp","1.4","unknown","4.6037231","10.3619024"
"45","Lake  Kainji, Nigeria","15.2","34",NA,"cm","standard",NA,"Citharinus  latus","6","10/1/1970","5/1/1972","not stated",NA,NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_3",NA,"pleodorina_sp",NA,"unknown","4.6037231","10.3619024"
"46","Lake  Kainji, Nigeria","6","40",NA,"cm","standard",NA,"Citharinus  citharus","810","10/1/1970","5/1/1972","not stated","lentic",NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_1",NA,"scenedestnus_sp","2.3","unknown","4.6037231","10.3619024"
"47","Lake  Kainji, Nigeria","8","52",NA,"cm","standard",NA,"Citharinus  distichodoides","136","10/1/1970","5/1/1972","not stated",NA,NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_2",NA,"scenedestnus_sp","3.4","unknown","4.6037231","10.3619024"
"48","Lake  Kainji, Nigeria","15.2","34",NA,"cm","standard",NA,"Citharinus  latus","6","10/1/1970","5/1/1972","not stated",NA,NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_3",NA,"scenedestnus_sp","3.1","unknown","4.6037231","10.3619024"
"49","Lake  Kainji, Nigeria","6","40",NA,"cm","standard",NA,"Citharinus  citharus","810","10/1/1970","5/1/1972","not stated","lentic",NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_1",NA,"selenastrumsp","0.2","unknown","4.6037231","10.3619024"
"50","Lake  Kainji, Nigeria","8","52",NA,"cm","standard",NA,"Citharinus  distichodoides","136","10/1/1970","5/1/1972","not stated",NA,NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_2",NA,"selenastrumsp","0.6","unknown","4.6037231","10.3619024"
"51","Lake  Kainji, Nigeria","15.2","34",NA,"cm","standard",NA,"Citharinus  latus","6","10/1/1970","5/1/1972","not stated",NA,NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_3",NA,"selenastrumsp",NA,"unknown","4.6037231","10.3619024"
"52","Lake  Kainji, Nigeria","6","40",NA,"cm","standard",NA,"Citharinus  citharus","810","10/1/1970","5/1/1972","not stated","lentic",NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_1",NA,"staurastrum_sp","2.6","unknown","4.6037231","10.3619024"
"53","Lake  Kainji, Nigeria","8","52",NA,"cm","standard",NA,"Citharinus  distichodoides","136","10/1/1970","5/1/1972","not stated",NA,NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_2",NA,"staurastrum_sp","2.3","unknown","4.6037231","10.3619024"
"54","Lake  Kainji, Nigeria","15.2","34",NA,"cm","standard",NA,"Citharinus  latus","6","10/1/1970","5/1/1972","not stated",NA,NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_3",NA,"staurastrum_sp","3.1","unknown","4.6037231","10.3619024"
"55","Lake  Kainji, Nigeria","6","40",NA,"cm","standard",NA,"Citharinus  citharus","810","10/1/1970","5/1/1972","not stated","lentic",NA,"number","percent","Arawomo","1976","J. fish biol","Arawomo, G. A. O. (1976). Food and feeding of three Citharinus species in Lake Kainji, Nigeria. Journal of Fish Biology, 9(1), 3-10.","tbl2","averaged over time and fish size","20200118_arawomo_tbl2_1",NA,"vo_vox_sp","1.8","unknown","4.6037231","10.3619024"
