"","site_name","predator_min_length","predator_average_length","predator_max_length","length_units","length_measure","predator_stage","type_of_fish","sample_size","start_date","end_date","sampling_interval","habitat","microhabitat","measurement_type","measurement_units","author","year","journal","citation","table_figure","notes","prey_taxon","measurement","prey_stage","lon","lat"
"31","Alagados Reservoir, Paraná, Brazil","5",NA,NA,"cm","standard length",NA,"Astyanax paranae","711","1996-04-01","1999-01-01","quarterly","Reservoir",NA,"percent volume","percent","Abelha et al.","2006","Neotropical Ichthyology","Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.","tbl 1",NA,"bryozoa","0.783","unknown","-50.0226154","-25.0073426"
"32","Alagados Reservoir, Paraná, Brazil","5",NA,NA,"cm","standard length",NA,"Astyanax paranae","711","1996-04-01","1999-01-01","quarterly","Reservoir",NA,"percent volume","percent","Abelha et al.","2006","Neotropical Ichthyology","Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.","tbl 1",NA,"oligochaeta","1.483","unknown","-50.0226154","-25.0073426"
"33","Alagados Reservoir, Paraná, Brazil","5",NA,NA,"cm","standard length",NA,"Astyanax paranae","711","1996-04-01","1999-01-01","quarterly","Reservoir",NA,"percent volume","percent","Abelha et al.","2006","Neotropical Ichthyology","Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.","tbl 1",NA,"testacea","0.043","unknown","-50.0226154","-25.0073426"
"34","Alagados Reservoir, Paraná, Brazil","5",NA,NA,"cm","standard length",NA,"Astyanax paranae","711","1996-04-01","1999-01-01","quarterly","Reservoir",NA,"percent volume","percent","Abelha et al.","2006","Neotropical Ichthyology","Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.","tbl 1",NA,"nematoda","0.001","unknown","-50.0226154","-25.0073426"
"35","Alagados Reservoir, Paraná, Brazil","5",NA,NA,"cm","standard length",NA,"Astyanax paranae","711","1996-04-01","1999-01-01","quarterly","Reservoir",NA,"percent volume","percent","Abelha et al.","2006","Neotropical Ichthyology","Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.","tbl 1",NA,"coleoptera","0.195","unknown","-50.0226154","-25.0073426"
"36","Alagados Reservoir, Paraná, Brazil","5",NA,NA,"cm","standard length",NA,"Astyanax paranae","711","1996-04-01","1999-01-01","quarterly","Reservoir",NA,"percent volume","percent","Abelha et al.","2006","Neotropical Ichthyology","Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.","tbl 1",NA,"diptera","0.019","unknown","-50.0226154","-25.0073426"
"37","Alagados Reservoir, Paraná, Brazil","5",NA,NA,"cm","standard length",NA,"Astyanax paranae","711","1996-04-01","1999-01-01","quarterly","Reservoir",NA,"percent volume","percent","Abelha et al.","2006","Neotropical Ichthyology","Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.","tbl 1",NA,"hemiptera_61","0.077","unknown","-50.0226154","-25.0073426"
"38","Alagados Reservoir, Paraná, Brazil","5",NA,NA,"cm","standard length",NA,"Astyanax paranae","711","1996-04-01","1999-01-01","quarterly","Reservoir",NA,"percent volume","percent","Abelha et al.","2006","Neotropical Ichthyology","Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.","tbl 1",NA,"homoptera","0.231","unknown","-50.0226154","-25.0073426"
"39","Alagados Reservoir, Paraná, Brazil","5",NA,NA,"cm","standard length",NA,"Astyanax paranae","711","1996-04-01","1999-01-01","quarterly","Reservoir",NA,"percent volume","percent","Abelha et al.","2006","Neotropical Ichthyology","Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.","tbl 1",NA,"hymenoptera","0.664","unknown","-50.0226154","-25.0073426"
"40","Alagados Reservoir, Paraná, Brazil","5",NA,NA,"cm","standard length",NA,"Astyanax paranae","711","1996-04-01","1999-01-01","quarterly","Reservoir",NA,"percent volume","percent","Abelha et al.","2006","Neotropical Ichthyology","Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.","tbl 1",NA,"isoptera","0.31","unknown","-50.0226154","-25.0073426"
