"","site_name","lat","long","predator_min_length","predator_max_length","predator_average_length","length_units","length_measure","predator_stage","type_of_fish","sample_size","start_date","end_date","habitat","microhabitat","measurement_type","measurement_units","author","year","journal","citation","table_figure","data_sorted_by","fish_id","notes","prey_taxon","measurement","prey_stage","sampling_interval","lon"
"101","chapman River, Australia",NA,NA,"31","134",NA,"mm","standard",NA,"Acanthopagrus butcheri","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_3",NA,"zygoptera_larvae","0","larvae",NA,NA
"102","chapman River, Australia",NA,NA,"45","69",NA,"mm","standard",NA,"Amniataba caudavittata","7","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_4",NA,"zygoptera_larvae","0","larvae",NA,NA
"103","chapman River, Australia",NA,NA,"28","56",NA,"mm","standard",NA,"Mugil cephalus","5","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_5",NA,"zygoptera_larvae","0","larvae",NA,NA
"104","chapman River, Australia",NA,NA,"30","59",NA,"mm","standard",NA,"Hypseleotris compressa","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_6",NA,"zygoptera_larvae","6.9","larvae",NA,NA
"105","chapman River, Australia",NA,NA,"24","44",NA,"mm","standard",NA,"Pseudogobius olorum","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_7",NA,"zygoptera_larvae","0","larvae",NA,NA
"106","chapman River, Australia",NA,NA,"32","44",NA,"mm","standard",NA,"Oreochromis mossambicus","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_1",NA,"amphipoda","0","unknown",NA,NA
"107","chapman River, Australia",NA,NA,"25","36",NA,"mm","standard",NA,"Gambusia holbrooki","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_2",NA,"amphipoda","0","unknown",NA,NA
"108","chapman River, Australia",NA,NA,"31","134",NA,"mm","standard",NA,"Acanthopagrus butcheri","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_3",NA,"amphipoda","0","unknown",NA,NA
"109","chapman River, Australia",NA,NA,"45","69",NA,"mm","standard",NA,"Amniataba caudavittata","7","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_4",NA,"amphipoda","1.4","unknown",NA,NA
"110","chapman River, Australia",NA,NA,"28","56",NA,"mm","standard",NA,"Mugil cephalus","5","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_5",NA,"amphipoda","0","unknown",NA,NA
"111","chapman River, Australia",NA,NA,"30","59",NA,"mm","standard",NA,"Hypseleotris compressa","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_6",NA,"amphipoda","12.8","unknown",NA,NA
"112","chapman River, Australia",NA,NA,"24","44",NA,"mm","standard",NA,"Pseudogobius olorum","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_7",NA,"amphipoda","0","unknown",NA,NA
"113","chapman River, Australia",NA,NA,"32","44",NA,"mm","standard",NA,"Oreochromis mossambicus","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_1",NA,"ostracoda","0.8","unknown",NA,NA
"114","chapman River, Australia",NA,NA,"25","36",NA,"mm","standard",NA,"Gambusia holbrooki","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_2",NA,"ostracoda","0","unknown",NA,NA
"115","chapman River, Australia",NA,NA,"31","134",NA,"mm","standard",NA,"Acanthopagrus butcheri","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_3",NA,"ostracoda","1","unknown",NA,NA
"116","chapman River, Australia",NA,NA,"45","69",NA,"mm","standard",NA,"Amniataba caudavittata","7","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_4",NA,"ostracoda","0.2","unknown",NA,NA
"117","chapman River, Australia",NA,NA,"28","56",NA,"mm","standard",NA,"Mugil cephalus","5","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_5",NA,"ostracoda","0","unknown",NA,NA
"118","chapman River, Australia",NA,NA,"30","59",NA,"mm","standard",NA,"Hypseleotris compressa","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_6",NA,"ostracoda","0","unknown",NA,NA
"119","chapman River, Australia",NA,NA,"24","44",NA,"mm","standard",NA,"Pseudogobius olorum","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_7",NA,"ostracoda","0","unknown",NA,NA
"120","chapman River, Australia",NA,NA,"32","44",NA,"mm","standard",NA,"Oreochromis mossambicus","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_1",NA,"gastropoda","0","unknown",NA,NA
"121","chapman River, Australia",NA,NA,"25","36",NA,"mm","standard",NA,"Gambusia holbrooki","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_2",NA,"gastropoda","8.6","unknown",NA,NA
"122","chapman River, Australia",NA,NA,"31","134",NA,"mm","standard",NA,"Acanthopagrus butcheri","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_3",NA,"gastropoda","14.7","unknown",NA,NA
"123","chapman River, Australia",NA,NA,"45","69",NA,"mm","standard",NA,"Amniataba caudavittata","7","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_4",NA,"gastropoda","0","unknown",NA,NA
"124","chapman River, Australia",NA,NA,"28","56",NA,"mm","standard",NA,"Mugil cephalus","5","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_5",NA,"gastropoda","0","unknown",NA,NA
"125","chapman River, Australia",NA,NA,"30","59",NA,"mm","standard",NA,"Hypseleotris compressa","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_6",NA,"gastropoda","0.9","unknown",NA,NA
"126","chapman River, Australia",NA,NA,"24","44",NA,"mm","standard",NA,"Pseudogobius olorum","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_7",NA,"gastropoda","0","unknown",NA,NA
"127","chapman River, Australia",NA,NA,"32","44",NA,"mm","standard",NA,"Oreochromis mossambicus","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_1",NA,"teleost","0","unknown",NA,NA
"128","chapman River, Australia",NA,NA,"25","36",NA,"mm","standard",NA,"Gambusia holbrooki","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_2",NA,"teleost","0","unknown",NA,NA
"129","chapman River, Australia",NA,NA,"31","134",NA,"mm","standard",NA,"Acanthopagrus butcheri","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_3",NA,"teleost","0","unknown",NA,NA
"130","chapman River, Australia",NA,NA,"45","69",NA,"mm","standard",NA,"Amniataba caudavittata","7","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_4",NA,"teleost","6.9","unknown",NA,NA
"131","chapman River, Australia",NA,NA,"28","56",NA,"mm","standard",NA,"Mugil cephalus","5","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_5",NA,"teleost","0","unknown",NA,NA
"132","chapman River, Australia",NA,NA,"30","59",NA,"mm","standard",NA,"Hypseleotris compressa","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_6",NA,"teleost","0","unknown",NA,NA
"133","chapman River, Australia",NA,NA,"24","44",NA,"mm","standard",NA,"Pseudogobius olorum","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_7",NA,"teleost","0","unknown",NA,NA
"134","chapman River, Australia",NA,NA,"32","44",NA,"mm","standard",NA,"Oreochromis mossambicus","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_1",NA,"organic_matter_not_identified","5.8","unknown",NA,NA
"135","chapman River, Australia",NA,NA,"25","36",NA,"mm","standard",NA,"Gambusia holbrooki","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_2",NA,"organic_matter_not_identified","0","unknown",NA,NA
"136","chapman River, Australia",NA,NA,"31","134",NA,"mm","standard",NA,"Acanthopagrus butcheri","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_3",NA,"organic_matter_not_identified","6.8","unknown",NA,NA
"137","chapman River, Australia",NA,NA,"45","69",NA,"mm","standard",NA,"Amniataba caudavittata","7","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_4",NA,"organic_matter_not_identified","2.4","unknown",NA,NA
"138","chapman River, Australia",NA,NA,"28","56",NA,"mm","standard",NA,"Mugil cephalus","5","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_5",NA,"organic_matter_not_identified","16.5","unknown",NA,NA
"139","chapman River, Australia",NA,NA,"30","59",NA,"mm","standard",NA,"Hypseleotris compressa","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_6",NA,"organic_matter_not_identified","2.5","unknown",NA,NA
"140","chapman River, Australia",NA,NA,"24","44",NA,"mm","standard",NA,"Pseudogobius olorum","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_7",NA,"organic_matter_not_identified","3.9","unknown",NA,NA
"141","chapman River, Australia",NA,NA,"32","44",NA,"mm","standard",NA,"Oreochromis mossambicus","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_1",NA,"silt_biofilm","12","unknown",NA,NA
"142","chapman River, Australia",NA,NA,"25","36",NA,"mm","standard",NA,"Gambusia holbrooki","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_2",NA,"silt_biofilm","0.5","unknown",NA,NA
"143","chapman River, Australia",NA,NA,"31","134",NA,"mm","standard",NA,"Acanthopagrus butcheri","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_3",NA,"silt_biofilm","0","unknown",NA,NA
"144","chapman River, Australia",NA,NA,"45","69",NA,"mm","standard",NA,"Amniataba caudavittata","7","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_4",NA,"silt_biofilm","0","unknown",NA,NA
"145","chapman River, Australia",NA,NA,"28","56",NA,"mm","standard",NA,"Mugil cephalus","5","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_5",NA,"silt_biofilm","15.4","unknown",NA,NA
"146","chapman River, Australia",NA,NA,"30","59",NA,"mm","standard",NA,"Hypseleotris compressa","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_6",NA,"silt_biofilm","2.2","unknown",NA,NA
"147","chapman River, Australia",NA,NA,"24","44",NA,"mm","standard",NA,"Pseudogobius olorum","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_7",NA,"silt_biofilm","1.6","unknown",NA,NA
"148","chapman River, Australia",NA,NA,"32","44",NA,"mm","standard",NA,"Oreochromis mossambicus","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_1",NA,"sand","4","unknown",NA,NA
"149","chapman River, Australia",NA,NA,"25","36",NA,"mm","standard",NA,"Gambusia holbrooki","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_2",NA,"sand","0","unknown",NA,NA
