,Family,Species,Study
7646,Loricariidae,Pterygoplichthys multiradiatus,"(Hancock, 1828)"
7647,Loricariidae,Pterygoplichthys pardalis,"(Castelnau, 1855)"
7648,Loricariidae,Pterygoplichthys punctatus,"(Kner, 1854)"
7649,Loricariidae,Pterygoplichthys scrophus,"(Cope, 1874)"
7650,Loricariidae,Pterygoplichthys weberi,"Armbruster & Page, 2006"
7651,Loricariidae,Pterygoplichthys xinguensis,"(Weber, 1991)"
7652,Loricariidae,Pyxiloricaria menezesi,"Isbrücker & Nijssen, 1984"
7653,Loricariidae,Reganella depressa,"(Kner, 1853)"
7654,Loricariidae,Rhadinoloricaria bahuaja,"(Chang & Castro, 1999)"
7655,Loricariidae,Rhadinoloricaria macromystax,"(Günther, 1869)"
7656,Loricariidae,Rhadinoloricaria rhami,"(Isbrücker & Nijssen, 1983)"
7657,Loricariidae,Rhinelepis aspera,"Spix & Agassiz, 1829"
7658,Loricariidae,Rhinelepis strigosa,"Valenciennes, 1840"
7659,Loricariidae,Rhinolekos britskii,"Martins, Langeani & Costa, 2011"
7660,Loricariidae,Rhinolekos capetinga,"Roxo, Ochoa, Silva & Oliveira, 2015"
7661,Loricariidae,Rhinolekos garavelloi,"Martins & Langeani, 2011"
7662,Loricariidae,Rhinolekos schaeferi,"Martins & Langeani, 2011"
7663,Loricariidae,Ricola macrops,"(Regan, 1904)"
7664,Loricariidae,Rineloricaria anhaguapitan,"Ghazzi, 2008"
7665,Loricariidae,Rineloricaria cacerensis,"(Miranda Ribeiro, 1912)"
7666,Loricariidae,Rineloricaria castroi,"Isbrücker & Nijssen, 1984"
7667,Loricariidae,Rineloricaria fallax,"(Steindachner, 1915)"
7668,Loricariidae,Rineloricaria formosa,"Isbrücker & Nijssen, 1979"
7669,Loricariidae,Rineloricaria hasemani,"Isbrücker & Nijssen, 1979"
7670,Loricariidae,Rineloricaria heteroptera,"Isbrücker & Nijssen, 1976"
7671,Loricariidae,Rineloricaria hoehnei,"(Miranda Ribeiro, 1912)"
7672,Loricariidae,Rineloricaria konopickyi,"(Steindachner, 1879)"
7673,Loricariidae,Rineloricaria lanceolata,"(Günther, 1868)"
7674,Loricariidae,Rineloricaria langei,"Ingenito, Ghazzi, Duboc & Abilhoa, 2008"
7675,Loricariidae,Rineloricaria latirostris,"(Boulenger, 1900)"
7676,Loricariidae,Rineloricaria maacki,"Ingenito, Ghazzi, Duboc & Abilhoa, 2008"
7677,Loricariidae,Rineloricaria magdalenae,"(Steindachner, 1879)"
7678,Loricariidae,Rineloricaria melini,"(Schindler, 1959)"
7679,Loricariidae,Rineloricaria microlepidogaster,"(Regan, 1904)"
7680,Loricariidae,Rineloricaria misionera,"Rodríguez & Miquelarena, 2005"
7681,Loricariidae,Rineloricaria parva,"(Boulenger, 1895)"
7682,Loricariidae,Rineloricaria phoxocephala,"(Eigenmann & Eigenmann, 1889)"
7683,Loricariidae,Rineloricaria reisi,"Ghazzi, 2008"
7684,Loricariidae,Rineloricaria sanga,"Ghazzi, 2008"
7685,Loricariidae,Rineloricaria setepovos,"Ghazzi, 2008"
7686,Loricariidae,Rineloricaria stellata,"Ghazzi, 2008"
7687,Loricariidae,Rineloricaria teffeana,"(Steindachner, 1879)"
7688,Loricariidae,Rineloricaria tropeira,"Ghazzi, 2008"
7689,Loricariidae,Rineloricaria zaina,"Ghazzi, 2008"
7690,Loricariidae,Scobinancistrus pariolispos,"Isbrücker & Nijssen, 1989"
7691,Loricariidae,Soromonichthys stearleyi,"Lujan & Armbruster, 2011"
7692,Loricariidae,Spatuloricaria curvispina,"(Dahl, 1942)"
7693,Loricariidae,Spatuloricaria evansii,"(Boulenger, 1892)"
7694,Loricariidae,Spatuloricaria gymnogaster,"(Eigenmann & Vance, 1912)"
7695,Loricariidae,Spatuloricaria nudiventris,"(Valenciennes, 1840)"
7696,Loricariidae,Spatuloricaria puganensis,"(Pearson, 1937)"
7697,Loricariidae,Spectracanthicus tocantinensis,"Chamon & Rapp Py-Daniel, 2014"
7698,Loricariidae,Squaliforma emarginata,"(Valenciennes, 1840)"
7699,Loricariidae,Squaliforma scopularia,"(Cope, 1871)"
7700,Loricariidae,Squaliforma squalina,"(Jardine, 1841)"
7701,Loricariidae,Squaliforma virescens,"(Cope, 1874)"
7702,Loricariidae,Sturisoma barbatum,"(Kner, 1853)"
7703,Loricariidae,Sturisoma guentheri,"(Regan, 1904)"
7704,Loricariidae,Sturisoma robustum,"(Regan, 1904)"
7705,Loricariidae,Sturisomatichthys aureum,"(Steindachner, 1900)"
7706,Loricariidae,Sturisomatichthys leightoni,"(Regan, 1912)"
7707,Lotidae,Ciliata mustela,"(Linnaeus, 1758)"
7708,Lotidae,Lota lota,"(Linnaeus, 1758)"
7709,Lutjanidae,Lutjanus agennes,"Bleeker, 1863"
7710,Lutjanidae,Lutjanus argentimaculatus,"(Forsskål, 1775)"
7711,Lutjanidae,Lutjanus bohar,"(Forsskål, 1775)"
7712,Lutjanidae,Lutjanus dentatus,"(Duméril, 1861)"
7713,Lutjanidae,Lutjanus endecacanthus,"Bleeker, 1863"
7714,Lutjanidae,Lutjanus erythropterus,"Bloch, 1790"
7715,Lutjanidae,Lutjanus fulviflamma,"(Forsskål, 1775)"
7716,Lutjanidae,Lutjanus fulvus,"(Forster, 1801)"
7717,Lutjanidae,Lutjanus goreensis,"(Valenciennes, 1830)"
7718,Lutjanidae,Lutjanus johnii,"(Bloch, 1792)"
7719,Lutjanidae,Lutjanus malabaricus,"(Bloch & Schneider, 1801)"
7720,Lutjanidae,Lutjanus notatus,"(Cuvier, 1828)"
7721,Lutjanidae,Lutjanus rivulatus,"(Cuvier, 1828)"
7722,Lutjanidae,Lutjanus russellii,"(Bleeker, 1849)"
7723,Lutjanidae,Pristipomoides macrophthalmus,"(Müller & Troschel, 1848)"
7724,Malapteruridae,Malapterurus barbatus,"Norris, 2002"
7725,Malapteruridae,Malapterurus beninensis,"Murray, 1855"
7726,Malapteruridae,Malapterurus cavalliensis,"Roberts, 2000"
7727,Malapteruridae,Malapterurus electricus,"(Gmelin, 1789)"
7728,Malapteruridae,Malapterurus leonensis,"Roberts, 2000"
7729,Malapteruridae,Malapterurus melanochir,"Norris, 2002"
7730,Malapteruridae,Malapterurus melanochir,"Norris, 2002"
7731,Malapteruridae,Malapterurus microstoma,"Poll & Gosse, 1969"
7732,Malapteruridae,Malapterurus microstoma,"Poll & Gosse, 1969"
7733,Malapteruridae,Malapterurus minjiriya,"Sagua, 1987"
7734,Malapteruridae,Malapterurus monsembeensis,"Roberts, 2000"
7735,Malapteruridae,Malapterurus monsembeensis,"Roberts, 2000"
7736,Malapteruridae,Malapterurus occidentalis,"Norris, 2002"
7737,Malapteruridae,Malapterurus oguensis,"Sauvage, 1879"
7738,Malapteruridae,Malapterurus punctatus,"Norris, 2002"
7739,Malapteruridae,Malapterurus shirensis,"Roberts, 2000"
7740,Malapteruridae,Malapterurus stiassnyae,"Norris, 2002"
7741,Malapteruridae,Malapterurus tanganyikaensis,"Roberts, 2000"
7742,Malapteruridae,Malapterurus tanoensis,"Roberts, 2000"
7743,Malapteruridae,Malapterurus teugelsi,"Norris, 2002"
7744,Malapteruridae,Malapterurus thysi,"Norris, 2002"
7745,Malapteruridae,Paradoxoglanis caudivittatus,"Norris, 2002"
7746,Malapteruridae,Paradoxoglanis caudivittatus,"Norris, 2002"
7747,Malapteruridae,Paradoxoglanis cryptus,"Norris, 2002"
7748,Malapteruridae,Paradoxoglanis parvus,"Norris, 2002"
7749,Malapteruridae,Paradoxoglanis parvus,"Norris, 2002"
7750,Mastacembelidae,Macrognathus aculeatus,"(Bloch, 1786)"
7751,Mastacembelidae,Macrognathus aral,"(Bloch & Schneider, 1801)"
7752,Mastacembelidae,Macrognathus circumcinctus,"(Hora, 1924)"
7753,Mastacembelidae,Macrognathus dorsiocellatus,"Britz, 2010"
7754,Mastacembelidae,Macrognathus maculatus,"(Cuvier, 1832)"
7755,Mastacembelidae,Macrognathus pancalus,"Hamilton, 1822"
7756,Mastacembelidae,Macrognathus semiocellatus,"Roberts, 1986"
7757,Mastacembelidae,Macrognathus siamensis,"(Günther, 1861)"
7758,Mastacembelidae,Macrognathus taeniagaster,"(Fowler, 1935)"
7759,Mastacembelidae,Macrognathus zebrinus,"(Blyth, 1858)"
7760,Mastacembelidae,Mastacembelus alboguttatus,"Boulenger, 1893"
7761,Mastacembelidae,Mastacembelus albomaculatus,"Poll, 1953"
7762,Mastacembelidae,Mastacembelus apectoralis,"Brown, Britz, Bills, Rüber & Day, 2011"
7763,Mastacembelidae,Mastacembelus armatus,"(Lacepède, 1800)"
7764,Mastacembelidae,Mastacembelus aviceps,"Roberts & Stewart, 1976"
7765,Mastacembelidae,Mastacembelus brachyrhinus,"Boulenger, 1899"
7766,Mastacembelidae,Mastacembelus brachyrhinus,"Boulenger, 1899"
7767,Mastacembelidae,Mastacembelus brichardi,"(Poll, 1958)"
7768,Mastacembelidae,Mastacembelus brichardi,"(Poll, 1958)"
7769,Mastacembelidae,Mastacembelus catchpolei,"Fowler, 1936"
7770,Mastacembelidae,Mastacembelus congicus,"Boulenger, 1896"
7771,Mastacembelidae,Mastacembelus crassus,"Roberts & Stewart, 1976"
7772,Mastacembelidae,Mastacembelus cryptacanthus,"Günther, 1867"
7773,Mastacembelidae,Mastacembelus cunningtoni,"Boulenger, 1906"
7774,Mastacembelidae,Mastacembelus decorsei,"Pellegrin, 1919"
7775,Mastacembelidae,Mastacembelus ellipsifer,"Boulenger, 1899"
7776,Mastacembelidae,Mastacembelus erythrotaenia,"Bleeker, 1850"
7777,Mastacembelidae,Mastacembelus favus,"Hora, 1924"
7778,Mastacembelidae,Mastacembelus flavidus,"Matthes, 1962"
7779,Mastacembelidae,Mastacembelus frenatus,"Boulenger, 1901"
7780,Mastacembelidae,Mastacembelus greshoffi,"Boulenger, 1901"
7781,Mastacembelidae,Mastacembelus greshoffi,"Boulenger, 1901"
7782,Mastacembelidae,Mastacembelus kakrimensis,"Vreven & Teugels, 2005"
7783,Mastacembelidae,Mastacembelus latens,"Roberts & Stewart, 1976"
7784,Mastacembelidae,Mastacembelus liberiensis,"Boulenger, 1898"
7785,Mastacembelidae,Mastacembelus loennbergii,"Boulenger, 1898"
7786,Mastacembelidae,Mastacembelus marchei,"Sauvage, 1879"
7787,Mastacembelidae,Mastacembelus mastacembelus,"(Banks & Solander, 1794)"
7788,Mastacembelidae,Mastacembelus micropectus,"Matthes, 1962"
7789,Mastacembelidae,Mastacembelus moorii,"Boulenger, 1898"
7790,Mastacembelidae,Mastacembelus niger,"Sauvage, 1879"
7791,Mastacembelidae,Mastacembelus nigromarginatus,"Boulenger, 1898"
7792,Mastacembelidae,Mastacembelus ophidium,"Günther, 1894"
7793,Mastacembelidae,Mastacembelus paucispinis,"Boulenger, 1899"
7794,Mastacembelidae,Mastacembelus paucispinis,"Boulenger, 1899"
7795,Mastacembelidae,Mastacembelus plagiostomus,"Matthes, 1962"
7796,Mastacembelidae,Mastacembelus platysoma,"Poll & Matthes, 1962"
7797,Mastacembelidae,Mastacembelus polli,"Vreven, 2005"
7798,Mastacembelidae,Mastacembelus praensis,"(Travers, 1992)"
7799,Mastacembelidae,Mastacembelus reygeli,"Vreven & Snoeks, 2009"
7800,Mastacembelidae,Mastacembelus robertsi,"(Vreven & Teugels, 1996)"
7801,Mastacembelidae,Mastacembelus robertsi,"(Vreven & Teugels, 1996)"
7802,Mastacembelidae,Mastacembelus sanagali,"Thys van den Audenaerde, 1972"
7803,Mastacembelidae,Mastacembelus seiteri,"Thys van den Audenaerde, 1972"
7804,Mastacembelidae,Mastacembelus sexdecimspinus,"(Roberts & Travers, 1986)"
7805,Mastacembelidae,Mastacembelus shiloangoensis,"(Vreven, 2004)"
7806,Mastacembelidae,Mastacembelus shiranus,"Günther, 1896"
7807,Mastacembelidae,Mastacembelus simbi,"Vreven & Stiassny, 2009"
7808,Mastacembelidae,Mastacembelus strigiventus,"Zhou & Yang, 2011"
7809,Mastacembelidae,Mastacembelus taiaensis,"(Travers, 1992)"
7810,Mastacembelidae,Mastacembelus tanganicae,"Günther, 1894"
7811,Mastacembelidae,Mastacembelus tinwini,"Britz, 2007"
7812,Mastacembelidae,Mastacembelus traversi,"(Vreven & Teugels, 1997)"
7813,Mastacembelidae,Mastacembelus traversi,"(Vreven & Teugels, 1997)"
7814,Mastacembelidae,Mastacembelus triolobus,"Zhou & Yang, 2011"
7815,Mastacembelidae,Mastacembelus vanderwaali,"Skelton, 1976"
7816,Mastacembelidae,Mastacembelus zebratus,"Matthes, 1962"
7817,Megalopidae,Megalops atlanticus,"Valenciennes, 1847"
7818,Megalopidae,Megalops cyprinoides,"(Broussonet, 1782)"
7819,Melanotaeniidae,Iriatherina werneri,"Meinken, 1974"
7820,Melanotaeniidae,Melanotaenia australis,"(Castelnau, 1875)"
7821,Melanotaeniidae,Melanotaenia fluviatilis,"(Castelnau, 1878)"
7822,Melanotaeniidae,Melanotaenia maccullochi,"Ogilby, 1915"
7823,Melanotaeniidae,Melanotaenia rubrostriata,"(Ramsay & Ogilby, 1886)"
7824,Menidae,Mene maculata,"(Bloch & Schneider, 1801)"
7825,Mochokidae,Acanthocleithron chapini,"Nichols & Griscom, 1917"
7826,Mochokidae,Atopochilus chabanaudi,"Pellegrin, 1938"
7827,Mochokidae,Atopochilus christyi,"Boulenger, 1920"
7828,Mochokidae,Atopochilus christyi,"Boulenger, 1920"
7829,Mochokidae,Atopochilus macrocephalus,"Boulenger, 1906"
7830,Mochokidae,Atopochilus mandevillei,"Poll, 1959"
7831,Mochokidae,Atopochilus pachychilus,"Pellegrin, 1924"
7832,Mochokidae,Atopochilus savorgnani,"Sauvage, 1879"
7833,Mochokidae,Atopodontus adriaensi,"Friel & Vigliotta, 2008"
7834,Mochokidae,Chiloglanis angolensis,"Poll, 1967"
7835,Mochokidae,Chiloglanis asymetricaudalis,"De Vos, 1993"
7836,Mochokidae,Chiloglanis batesii,"Boulenger, 1904"
7837,Mochokidae,Chiloglanis benuensis,"Daget & Stauch, 1963"
7838,Mochokidae,Chiloglanis brevibarbis,"Boulenger, 1902"
7839,Mochokidae,Chiloglanis camarabounyi,"Schmidt & Bart, 2017"
7840,Mochokidae,Chiloglanis cameronensis,"Boulenger, 1904"
7841,Mochokidae,Chiloglanis carnosus,"Roberts & Stewart, 1976"
7842,Mochokidae,Chiloglanis congicus,"Boulenger, 1920"
7843,Mochokidae,Chiloglanis congicus,"Boulenger, 1920"
7844,Mochokidae,Chiloglanis deckenii,"Peters, 1868"
7845,Mochokidae,Chiloglanis devosi,"Schmidt, Bart & Nyingi, 2015"
7846,Mochokidae,Chiloglanis dialloi,"Schmidt & Pezold, 2017"
7847,Mochokidae,Chiloglanis disneyi,"Trewavas, 1974"
7848,Mochokidae,Chiloglanis elisabethianus,"Boulenger, 1915"
7849,Mochokidae,Chiloglanis elisabethianus,"Boulenger, 1915"
7850,Mochokidae,Chiloglanis emarginatus,"Jubb & Le Roux, 1969"
7851,Mochokidae,Chiloglanis fasciatus,"Pellegrin, 1936"
7852,Mochokidae,Chiloglanis harbinger,"Roberts, 1989"
7853,Mochokidae,Chiloglanis igamba,"Friel & Vigliotta, 2011"
7854,Mochokidae,Chiloglanis kabaensis,"Schmidt & Friel, 2017"
7855,Mochokidae,Chiloglanis kalambo,"Seegers, 1996"
7856,Mochokidae,Chiloglanis kazumbei,"Friel & Vigliotta, 2011"
7857,Mochokidae,Chiloglanis kerioensis,"Schmidt, Bart & Nyingi, 2015"
7858,Mochokidae,Chiloglanis kolente,"Schmidt & Bart, 2017"
7859,Mochokidae,Chiloglanis lamottei,"Daget, 1948"
7860,Mochokidae,Chiloglanis loffabrevum,"Schmidt & Pezold, 2017"
7861,Mochokidae,Chiloglanis longibarbis,"Schmidt & Friel, 2017"
7862,Mochokidae,Chiloglanis lufirae,"Poll, 1976"
7863,Mochokidae,Chiloglanis lukugae,"Poll, 1944"
7864,Mochokidae,Chiloglanis macropterus,"Poll & Stewart, 1975"
7865,Mochokidae,Chiloglanis marlieri,"Poll, 1952"
7866,Mochokidae,Chiloglanis mbozi,"Seegers, 1996"
7867,Mochokidae,Chiloglanis micropogon,"Poll, 1952"
7868,Mochokidae,Chiloglanis microps,"Matthes, 1965"
7869,Mochokidae,Chiloglanis neumanni,"Boulenger, 1911"
7870,Mochokidae,Chiloglanis niger,"Roberts, 1989"
7871,Mochokidae,Chiloglanis niloticus,"Boulenger, 1900"
7872,Mochokidae,Chiloglanis normani,"Pellegrin, 1933"
7873,Mochokidae,Chiloglanis nzerekore,"Schmidt & Pezold, 2017"
7874,Mochokidae,Chiloglanis occidentalis,"Pellegrin, 1933"
7875,Mochokidae,Chiloglanis orthodontus,"Friel & Vigliotta, 2011"
7876,Mochokidae,Chiloglanis paratus,"Crass, 1960"
7877,Mochokidae,Chiloglanis pezoldi,"Schmidt & Bart, 2017"
7878,Mochokidae,Chiloglanis pojeri,"Poll, 1944"
7879,Mochokidae,Chiloglanis polyodon,"Norman, 1932"
7880,Mochokidae,Chiloglanis polypogon,"Roberts, 1989"
7881,Mochokidae,Chiloglanis pretoriae,"Van Der Horst, 1931"
7882,Mochokidae,Chiloglanis productus,"Ng & Bailey, 2006"
7883,Mochokidae,Chiloglanis reticulatus,"Roberts, 1989"
7884,Mochokidae,Chiloglanis reticulatus,"Roberts, 1989"
7885,Mochokidae,Chiloglanis rukwaensis,"Seegers, 1996"
7886,Mochokidae,Chiloglanis ruziziensis,"De Vos, 1993"
7887,Mochokidae,Chiloglanis sanagaensis,"Roberts, 1989"
7888,Mochokidae,Chiloglanis sardinhai,"Ladiges & Voelker, 1961"
7889,Mochokidae,Chiloglanis somereni,"Whitehead, 1958"
7890,Mochokidae,Chiloglanis swierstrai,"Van Der Horst, 1931"
7891,Mochokidae,Chiloglanis trilobatus,"Seegers, 1996"
7892,Mochokidae,Chiloglanis tweddlei,"Schmidt & Friel, 2017"
7893,Mochokidae,Chiloglanis voltae,"Daget & Stauch, 1963"
7894,Mochokidae,Chiloglanis waterloti,"Daget, 1954"
7895,Mochokidae,Euchilichthys astatodon,"(Pellegrin, 1928)"
7896,Mochokidae,Euchilichthys astatodon,"(Pellegrin, 1928)"
7897,Mochokidae,Euchilichthys boulengeri,"Nichols & La Monte, 1934"
7898,Mochokidae,Euchilichthys dybowskii,"(Vaillant, 1892)"
7899,Mochokidae,Euchilichthys dybowskii,"(Vaillant, 1892)"
7900,Mochokidae,Euchilichthys guentheri,"(Schilthuis, 1891)"
7901,Mochokidae,Euchilichthys guentheri,"(Schilthuis, 1891)"
7902,Mochokidae,Euchilichthys royauxi,"Boulenger, 1902"
7903,Mochokidae,Euchilichthys royauxi,"Boulenger, 1902"
7904,Mochokidae,Microsynodontis armatus,"Ng, 2004"
7905,Mochokidae,Microsynodontis batesii,"Boulenger, 1903"
7906,Mochokidae,Microsynodontis christyi,"Boulenger, 1920"
7907,Mochokidae,Microsynodontis christyi,"Boulenger, 1920"
7908,Mochokidae,Microsynodontis emarginata,"Ng, 2004"
7909,Mochokidae,Microsynodontis hirsuta,"Ng, 2004"
7910,Mochokidae,Microsynodontis laevigata,"Ng, 2004"
7911,Mochokidae,Microsynodontis lamberti,"Poll & Gosse, 1963"
7912,Mochokidae,Microsynodontis nannoculus,"Ng, 2004"
7913,Mochokidae,Microsynodontis nasutus,"Ng, 2004"
7914,Mochokidae,Microsynodontis notata,"Ng, 2004"
7915,Mochokidae,Microsynodontis polli,"Lambert, 1958"
7916,Mochokidae,Microsynodontis polli,"Lambert, 1958"
7917,Mochokidae,Microsynodontis vigilis,"Ng, 2004"
7918,Mochokidae,Mochokiella paynei,"Howes, 1980"
7919,Mochokidae,Mochokus brevis,"Boulenger, 1906"
7920,Mochokidae,Mochokus niloticus,"Joannis, 1835"
7921,Mochokidae,Synodontis acanthomias,"Boulenger, 1899"
7922,Mochokidae,Synodontis acanthomias,"Boulenger, 1899"
7923,Mochokidae,Synodontis acanthoperca,"Friel & Vigliotta, 2006"
7924,Mochokidae,Synodontis afrofischeri,"Hilgendorf, 1888"
7925,Mochokidae,Synodontis alberti,"Schilthuis, 1891"
7926,Mochokidae,Synodontis alberti,"Schilthuis, 1891"
7927,Mochokidae,Synodontis albolineatus,"Pellegrin, 1924"
7928,Mochokidae,Synodontis angelicus,"Schilthuis, 1891"
7929,Mochokidae,Synodontis angelicus,"Schilthuis, 1891"
7930,Mochokidae,Synodontis annectens,"Boulenger, 1911"
7931,Mochokidae,Synodontis ansorgii,"Boulenger, 1911"
7932,Mochokidae,Synodontis arnoulti,"Roman, 1966"
7933,Mochokidae,Synodontis aterrimus,"Poll & Roberts, 1968"
7934,Mochokidae,Synodontis aterrimus,"Poll & Roberts, 1968"
7935,Mochokidae,Synodontis bastiani,"Daget, 1948"
7936,Mochokidae,Synodontis batensoda,"Rüppell, 1832"
7937,Mochokidae,Synodontis batesii,"Boulenger, 1907"
7938,Mochokidae,Synodontis brichardi,"Poll, 1959"
7939,Mochokidae,Synodontis budgetti,"Boulenger, 1911"
7940,Mochokidae,Synodontis budgetti,"Boulenger, 1911"
7941,Mochokidae,Synodontis camelopardalis,"Poll, 1971"
7942,Mochokidae,Synodontis carineae,"Vreven & Ibala Zamba, 2011"
7943,Mochokidae,Synodontis caudalis,"Boulenger, 1899"
7944,Mochokidae,Synodontis caudalis,"Boulenger, 1899"
7945,Mochokidae,Synodontis caudovittatus,"Boulenger, 1901"
7946,Mochokidae,Synodontis centralis,"Poll, 1971"
7947,Mochokidae,Synodontis centralis,"Poll, 1971"
7948,Mochokidae,Synodontis clarias,"(Linnaeus, 1758)"
7949,Mochokidae,Synodontis comoensis,"Daget & Lévêque, 1981"
7950,Mochokidae,Synodontis congicus,"Poll, 1971"
7951,Mochokidae,Synodontis congicus,"Poll, 1971"
7952,Mochokidae,Synodontis contractus,"Vinciguerra, 1928"
7953,Mochokidae,Synodontis contractus,"Vinciguerra, 1928"
7954,Mochokidae,Synodontis courteti,"Pellegrin, 1906"
7955,Mochokidae,Synodontis cuangoanus,"Poll, 1971"
7956,Mochokidae,Synodontis decorus,"Boulenger, 1899"
7957,Mochokidae,Synodontis dekimpei,"Paugy, 1987"
7958,Mochokidae,Synodontis depauwi,"Boulenger, 1899"
7959,Mochokidae,Synodontis dhonti,"Boulenger, 1917"
7960,Mochokidae,Synodontis dorsomaculatus,"Poll, 1971"
7961,Mochokidae,Synodontis dorsomaculatus,"Poll, 1971"
7962,Mochokidae,Synodontis eupterus,"Boulenger, 1901"
7963,Mochokidae,Synodontis filamentosus,"Boulenger, 1901"
7964,Mochokidae,Synodontis flavitaeniatus,"Boulenger, 1919"
7965,Mochokidae,Synodontis flavitaeniatus,"Boulenger, 1919"
7966,Mochokidae,Synodontis frontosus,"Vaillant, 1895"
7967,Mochokidae,Synodontis fuelleborni,"Hilgendorf & Pappenheim, 1903"
7968,Mochokidae,Synodontis gobroni,"Daget, 1954"
7969,Mochokidae,Synodontis gobroni,"Daget, 1954"
7970,Mochokidae,Synodontis grandiops,"Wright & Page, 2006"
7971,Mochokidae,Synodontis granulosus,"Boulenger, 1900"
7972,Mochokidae,Synodontis greshoffi,"Schilthuis, 1891"
7973,Mochokidae,Synodontis greshoffi,"Schilthuis, 1891"
7974,Mochokidae,Synodontis guttatus,"Günther, 1865"
7975,Mochokidae,Synodontis haugi,"Pellegrin, 1906"
7976,Mochokidae,Synodontis ilebrevis,"Wright & Page, 2006"
7977,Mochokidae,Synodontis irsacae,"Matthes, 1959"
7978,Mochokidae,Synodontis iturii,"Steindachner, 1911"
7979,Mochokidae,Synodontis katangae,"Poll, 1971"
7980,Mochokidae,Synodontis katangae,"Poll, 1971"
7981,Mochokidae,Synodontis khartoumensis,"Abu Gideiri, 1967"
7982,Mochokidae,Synodontis koensis,"Pellegrin, 1933"
7983,Mochokidae,Synodontis kogonensis,"Musschoot & Lalèyè, 2008"
7984,Mochokidae,Synodontis laessoei,"Norman, 1923"
7985,Mochokidae,Synodontis leopardinus,"Pellegrin, 1914"
7986,Mochokidae,Synodontis leopardus,"Pfeffer, 1896"
7987,Mochokidae,Synodontis levequei,"Paugy, 1987"
7988,Mochokidae,Synodontis longirostris,"Boulenger, 1902"
7989,Mochokidae,Synodontis longirostris,"Boulenger, 1902"
7990,Mochokidae,Synodontis longispinis,"Pellegrin, 1930"
7991,Mochokidae,Synodontis lucipinnis,"Wright & Page, 2006"
7992,Mochokidae,Synodontis lufirae,"Poll, 1971"
7993,Mochokidae,Synodontis macrophthalmus,"Poll, 1971"
7994,Mochokidae,Synodontis macropunctatus,"Wright & Page, 2008"
7995,Mochokidae,Synodontis macropunctatus,"Wright & Page, 2008"
7996,Mochokidae,Synodontis macrostigma,"Boulenger, 1911"
7997,Mochokidae,Synodontis macrostoma,"Skelton & White, 1990"
7998,Mochokidae,Synodontis manni,"De Vos, 2001"
7999,Mochokidae,Synodontis marmoratus,"Lönnberg, 1895"
8000,Mochokidae,Synodontis melanopterus,"Boulenger, 1903"
8001,Mochokidae,Synodontis melanostictus,"Boulenger, 1906"
8002,Mochokidae,Synodontis membranaceus,"(Geoffroy Saint-Hilaire, 1809)"
8003,Mochokidae,Synodontis multimaculatus,"Boulenger, 1902"
8004,Mochokidae,Synodontis multipunctatus,"Boulenger, 1898"
8005,Mochokidae,Synodontis nebulosus,"Peters, 1852"
8006,Mochokidae,Synodontis ngouniensis,"De Weirdt, Vreven & Fermon, 2008"
8007,Mochokidae,Synodontis nigrita,"Valenciennes, 1840"
8008,Mochokidae,Synodontis nigriventris,"David, 1936"
8009,Mochokidae,Synodontis nigromaculatus,"Boulenger, 1905"
8010,Mochokidae,Synodontis njassae,"Keilhack, 1908"
8011,Mochokidae,Synodontis notatus,"Vaillant, 1893"
8012,Mochokidae,Synodontis nummifer,"Boulenger, 1899"
8013,Mochokidae,Synodontis nummifer,"Boulenger, 1899"
8014,Mochokidae,Synodontis obesus,"Boulenger, 1898"
8015,Mochokidae,Synodontis ocellifer,"Boulenger, 1900"
8016,Mochokidae,Synodontis omias,"Günther, 1864"
8017,Mochokidae,Synodontis orientalis,"Seegers, 2008"
8018,Mochokidae,Synodontis ornatipinnis,"Boulenger, 1899"
8019,Mochokidae,Synodontis ornatipinnis,"Boulenger, 1899"
8020,Mochokidae,Synodontis ornatissimus,"Gosse, 1982"
8021,Mochokidae,Synodontis ornatissimus,"Gosse, 1982"
8022,Mochokidae,Synodontis ouemeensis,"Musschoot & Lalèyè, 2008"
8023,Mochokidae,Synodontis pardalis,"Boulenger, 1908"
8024,Mochokidae,Synodontis petricola,"Matthes, 1959"
8025,Mochokidae,Synodontis pleurops,"Boulenger, 1897"
8026,Mochokidae,Synodontis pleurops,"Boulenger, 1897"
8027,Mochokidae,Synodontis polli,"Gosse, 1982"
8028,Mochokidae,Synodontis polyodon,"Vaillant, 1895"
8029,Mochokidae,Synodontis polystigma,"Boulenger, 1915"
8030,Mochokidae,Synodontis polystigma,"Boulenger, 1915"
8031,Mochokidae,Synodontis pulcher,"Poll, 1971"
8032,Mochokidae,Synodontis punctifer,"Daget, 1965"
8033,Mochokidae,Synodontis punctulatus,"Günther, 1889"
8034,Mochokidae,Synodontis punu,"Vreven & Milondo, 2009"
8035,Mochokidae,Synodontis rebeli,"Holly, 1926"
8036,Mochokidae,Synodontis resupinatus,"Boulenger, 1904"
8037,Mochokidae,Synodontis resupinatus,"Boulenger, 1904"
8038,Mochokidae,Synodontis ricardoae,"Seegers, 1996"
8039,Mochokidae,Synodontis robbianus,"Smith, 1875"
8040,Mochokidae,Synodontis robertsi,"Poll, 1974"
8041,Mochokidae,Synodontis ruandae,"Matthes, 1959"
