,Family,Species,Study
301,Ambassidae,Parambassis lala,"(Hamilton, 1822)"
302,Ambassidae,Parambassis ranga,"(Hamilton, 1822)"
303,Ambassidae,Parambassis siamensis,"(Fowler, 1937)"
304,Ambassidae,Parambassis vollmeri,"Roberts, 1995"
305,Ambassidae,Parambassis wolffii,"(Bleeker, 1850)"
306,Amblycipitidae,Amblyceps accari,"Dahanukar, Raghavan, Ali & Britz, 2016"
307,Amblycipitidae,Amblyceps apangi,"Nath & Dey, 1989"
308,Amblycipitidae,Amblyceps arunchalensis,"Nath & Dey, 1989"
309,Amblycipitidae,Amblyceps caecutiens,"Blyth, 1858"
310,Amblycipitidae,Amblyceps carinatum,"Ng, 2005"
311,Amblycipitidae,Amblyceps foratum,"Ng & Kottelat, 2000"
312,Amblycipitidae,Amblyceps mangois,"(Hamilton, 1822)"
313,Amblycipitidae,Amblyceps murraystuarti,"Chaudhuri, 1919"
314,Amblycipitidae,Amblyceps platycephalus,"Ng & Kottelat, 2000"
315,Amblycipitidae,Amblyceps protentum,"Ng & Wright, 2009"
316,Amblycipitidae,Amblyceps serratum,"Ng & Kottelat, 2000"
317,Amblycipitidae,Amblyceps variegatum,"Ng & Kottelat, 2000"
318,Amblycipitidae,Amblyceps waikhomi,"Darshan, Kachari, Dutta, Ganguly & Das, 2016"
319,Amblycipitidae,Liobagrus aequilabris,"Wright & Ng, 2008"
320,Amblycipitidae,Liobagrus kingi,"Tchang, 1935"
321,Amblycipitidae,Liobagrus marginatoides,"(Wu, 1930)"
322,Amblycipitidae,Liobagrus marginatus,"(Günther, 1892)"
323,Amblycipitidae,Liobagrus reinii,"Hilgendorf, 1878"
324,Amblycipitidae,Liobagrus styani,"Regan, 1908"
325,Amblycipitidae,Xiurenbagrus gigas,"Zhao, Lan & Zhang, 2004"
326,Amblycipitidae,Xiurenbagrus xiurenensis,"(Yue, 1981)"
327,Amblyopsidae,Amblyopsis rosae,"(Eigenmann, 1898)"
328,Amblyopsidae,Amblyopsis spelaea,"DeKay, 1842"
329,Amblyopsidae,Forbesichthys agassizii,"(Putnam, 1872)"
330,Amblyopsidae,Forbesichthys agassizii,"(Putnam, 1872)"
331,Amblyopsidae,Speoplatyrhinus poulsoni,"Cooper & Kuehne, 1974"
332,Amblyopsidae,Typhlichthys subterraneus,"Girard, 1859"
333,Amiidae,Amia calva,"Linnaeus, 1766"
334,Ammodytidae,Ammodytes tobianus,"Linnaeus, 1758"
335,Amphiliidae,Amphilius atesuensis,"Boulenger, 1904"
336,Amphiliidae,Amphilius athiensis,"Thomson & Page, 2010"
337,Amphiliidae,Amphilius brevis,"Boulenger, 1902"
338,Amphiliidae,Amphilius brevis,"Boulenger, 1902"
339,Amphiliidae,Amphilius caudosignatus,"Skelton, 2007"
340,Amphiliidae,Amphilius chalei,"Seegers, 2008"
341,Amphiliidae,Amphilius crassus,"Thomson & Hilber, 2015"
342,Amphiliidae,Amphilius cryptobullatus,"Skelton, 1986"
343,Amphiliidae,Amphilius dimonikensis,"Skelton, 2007"
344,Amphiliidae,Amphilius frieli,"Thomson & Page, 2015"
345,Amphiliidae,Amphilius frieli,"Thomson & Page, 2015"
346,Amphiliidae,Amphilius grandis,"Boulenger, 1905"
347,Amphiliidae,Amphilius jacksonii,"Boulenger, 1912"
348,Amphiliidae,Amphilius kakrimensis,"Teugels, Skelton & Lévêque, 1987"
349,Amphiliidae,Amphilius kivuensis,"Pellegrin, 1933"
350,Amphiliidae,Amphilius korupi,"Skelton, 2007"
351,Amphiliidae,Amphilius krefftii,"Boulenger, 1911"
352,Amphiliidae,Amphilius lamani,"Lönnberg & Rendahl, 1920"
353,Amphiliidae,Amphilius lentiginosus,"Trewavas, 1936"
354,Amphiliidae,Amphilius longirostris,"(Boulenger, 1901)"
355,Amphiliidae,Amphilius lujani,"Thomson & Page, 2015"
356,Amphiliidae,Amphilius maesii,"Boulenger, 1919"
357,Amphiliidae,Amphilius maesii,"Boulenger, 1919"
358,Amphiliidae,Amphilius mamonekenensis,"Skelton, 2007"
359,Amphiliidae,Amphilius natalensis,"Boulenger, 1917"
360,Amphiliidae,Amphilius nigricaudatus,"Pellegrin, 1909"
361,Amphiliidae,Amphilius opisthophthalmus,"Boulenger, 1919"
362,Amphiliidae,Amphilius pedunculus,"Thomson & Page, 2015"
363,Amphiliidae,Amphilius platychir,"(Günther, 1864)"
364,Amphiliidae,Amphilius pulcher,"Pellegrin, 1929"
365,Amphiliidae,Amphilius rheophilus,"Daget, 1959"
366,Amphiliidae,Amphilius ruziziensis,"Thomson & Page, 2015"
367,Amphiliidae,Amphilius uranoscopus,"(Pfeffer, 1889)"
368,Amphiliidae,Amphilius zairensis,"Skelton, 1986"
369,Amphiliidae,Amphilius zairensis,"Skelton, 1986"
370,Amphiliidae,Andersonia leptura,"Boulenger, 1900"
371,Amphiliidae,Belonoglanis brieni,"Poll, 1959"
372,Amphiliidae,Belonoglanis tenuis,"Boulenger, 1902"
373,Amphiliidae,Belonoglanis tenuis,"Boulenger, 1902"
374,Amphiliidae,Congoglanis alula,"(Nichols & Griscom, 1917)"
375,Amphiliidae,Congoglanis alula,"(Nichols & Griscom, 1917)"
376,Amphiliidae,Congoglanis howesi,"Vari, Ferraris & Skelton, 2012"
377,Amphiliidae,Congoglanis inga,"Ferraris, Vari & Skelton, 2011"
378,Amphiliidae,Congoglanis sagitta,"Ferraris, Vari & Skelton, 2011"
379,Amphiliidae,Congoglanis sagitta,"Ferraris, Vari & Skelton, 2011"
380,Amphiliidae,Dolichamphilius brieni,"(Poll, 1959)"
381,Amphiliidae,Dolichamphilius longiceps,"Roberts, 2003"
382,Amphiliidae,Doumea angolensis,"Boulenger, 1906"
383,Amphiliidae,Doumea chappuisi,"Pellegrin, 1933"
384,Amphiliidae,Doumea gracila,"Skelton, 2007"
385,Amphiliidae,Doumea reidi,"Ferraris, Skelton & Vari, 2010"
386,Amphiliidae,Doumea sanaga,"Skelton, 2007"
387,Amphiliidae,Doumea skeltoni,"Ferraris & Vari, 2014"
388,Amphiliidae,Doumea stilicauda,"Ferraris, Skelton & Vari, 2010"
389,Amphiliidae,Doumea thysi,"Skelton, 1989"
390,Amphiliidae,Doumea typica,"Sauvage, 1879"
391,Amphiliidae,Leptoglanis bouilloni,"Poll, 1959"
392,Amphiliidae,Leptoglanis bouilloni,"Poll, 1959"
393,Amphiliidae,Leptoglanis xenognathus,"Boulenger, 1902"
394,Amphiliidae,Leptoglanis xenognathus,"Boulenger, 1902"
395,Amphiliidae,Paramphilius baudoni,"(Pellegrin, 1928)"
396,Amphiliidae,Paramphilius firestonei,"Schultz, 1942"
397,Amphiliidae,Paramphilius teugelsi,"Skelton, 1989"
398,Amphiliidae,Paramphilius trichomycteroides,"Pellegrin, 1907"
399,Amphiliidae,Phractura ansorgii,"Boulenger, 1902"
400,Amphiliidae,Phractura bovei,"(Perugia, 1892)"
401,Amphiliidae,Phractura brevicauda,"Boulenger, 1911"
402,Amphiliidae,Phractura clauseni,"Daget & Stauch, 1963"
403,Amphiliidae,Phractura fasciata,"Boulenger, 1920"
404,Amphiliidae,Phractura gladysae,"Pellegrin, 1931"
405,Amphiliidae,Phractura intermedia,"Boulenger, 1911"
406,Amphiliidae,Phractura lindica,"Boulenger, 1902"
407,Amphiliidae,Phractura longicauda,"Boulenger, 1903"
