"","prey_taxon","prey_stage","prey_kingdom","prey_class","prey_order","prey_family","prey_species","prey_taxon_cleaned","prey_phylum","prey_superclass","prey_subclass","prey_subphylum","prey_type","prey_origin"
"2134","bloater","unknown","Animalia","Actinopterygii","Clupeiformes","Clupeidae",NA,NA,"Chordata",NA,NA,NA,NA,"aquatic"
"2135","other fish","unknown","Animalia",NA,NA,NA,NA,NA,NA,"Osteichthyes",NA,NA,NA,"aquatic"
"2136","lumbriculus","unknown","Animalia","Clitellata","Lumbriculida","Lumbriculidae",NA,NA,"Annelida",NA,NA,NA,NA,"aquatic"
"2137","eiseniella","unknown","Animalia","Clitellata","Crassiclitellata","Lumbricidae",NA,NA,"Annelida",NA,NA,NA,NA,"terrestrial"
"2138","canthocamptus","unknown","Animalia","Hexanauplia","Harpacticoida","Canthocamptidae","Canthocamptus sp.",NA,"Arthropoda",NA,"Copepoda","Crustacea",NA,"aquatic"
"2139","brachyptera","unknown","Animalia","Insecta","Brachyptera","Nemouridae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic or terrestrial"
"2140","protonemura","unknown","Animalia","Insecta","Plecoptera","Nemouridae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2141","amphinemura","unknown","Animalia","Insecta","Plecoptera","Nemouridae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2142","nemoura","unknown","Animalia","Insecta","Plecoptera","Nemouridae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2143","capnia","unknown","Animalia","Insecta","Plecoptera","Capniidae","Capnia sp.",NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2144","isoperla","unknown","Animalia","Insecta","Plecoptera","Perlodidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2145","ecdyonurus","unknown","Animalia","Insecta","Ephemeroptera","Heptageniidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2146","rhithrogena","unknown","Animalia","Insecta","Ephemeroptera","Heptageniidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2147","habrophlebia","unknown","Animalia","Insecta","Ephemeroptera","Leptophlebiidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2148","leptophlebia","unknown","Animalia","Insecta","Ephemeroptera","Leptophlebiidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2149","centroptilum","unknown","Animalia","Insecta","Ephemeroptera","Baetidae","Centroptilum sp.",NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2150","anabolia","unknown","Animalia","Insecta","Trichoptera","Limnephilidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2151","polycentropus","unknown","Animalia","Insecta","Trichoptera","Polycentropodidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2152","rhyacophila","unknown","Animalia","Insecta","Trichoptera","Rhyacophilidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2153","sinudium","unknown","Animalia","Insecta","Diptera","Simuliidae","Simulium sp.",NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2154","pentaneura","unknown","Animalia","Insecta","Diptera","Chironomidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2155","procladius","unknown","Animalia","Insecta","Diptera","Chironomidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2156","stictochironomus","unknown","Animalia","Insecta","Diptera","Chironomidae","Stictochironomus sp.",NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2157","endochironomous","unknown","Animalia","Insecta","Diptera","Chironomidae","Endochironomus sp.",NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2158","tanytarsus","unknown","Animalia","Insecta","Diptera","Chironomidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2159","prodiamesa","unknown","Animalia","Insecta","Diptera","Chironomidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2160","orthocladius","unknown","Animalia","Insecta","Diptera","Chironomidae","Orthocladius sp.",NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2161","corynoneura","unknown","Animalia","Insecta","Diptera","Chironomidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2162","eukieferiella","unknown","Animalia","Insecta","Diptera","Chironomidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2163","cardiocladius","unknown","Animalia","Insecta","Diptera","Chironomidae","Cardiocladius sp.",NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2164","trichocladius","unknown","Animalia","Insecta","Diptera","Chironomidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2165","tipula","unknown","Animalia","Insecta","Diptera","Tipulidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic or terrestrial"
"2166","limnophora","unknown","Animalia","Insecta","Diptera","Muscidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic or terrestrial"
"2167","dicranota","unknown","Animalia","Insecta","Diptera","Pediciidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"terrestrial"
"2168","bezzia","unknown","Animalia","Insecta","Diptera","Ceratopogonidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2169","hydroporus","unknown","Animalia","Insecta","Coleoptera","Dytiscidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2170","helmis","unknown","Animalia","Insecta","Coleoptera","Elmidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic or terrestrial"
"2171","esolus","unknown","Animalia","Insecta","Coleoptera","Elmidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic or terrestrial"
"2172","limnius","unknown","Animalia","Insecta","Coleoptera","Elmidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic or terrestrial"
"2173","hygrobates","unknown","Animalia","Arachnida","Trombidiformes","Hygrobatidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic or terrestrial"
"2174","ancylus","unknown","Animalia","Gastropoda",NA,"Planorbidae",NA,NA,"Mollusca",NA,NA,NA,NA,"aquatic"
