"","site_name","lat.x","long","predator_min_length","predator_average_length","predator_max_length","length_units","length_measure","predator_stage","type_of_fish","sample_size","start_date","end_date","sampling_interval","habitat","microhabitat","measurement_type","measurement_units","author","year","journal","citation","table_figure","notes","prey_taxon","measurement","prey_stage","lon","lat.y"
"37","Lake Myvatn, S-basin",NA,NA,"32",NA,"52","cm",NA,NA,"Salvelinus alpinus","27","5/6/1973","5/6/1973","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"plankton",NA,"unknown","-16.9961055","65.60386"
"38","Lake Myvatn, S-basin",NA,NA,"10",NA,"45","cm",NA,NA,"Salvelinus alpinus","14","6/20/1972","6/28/1972","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"plankton",NA,"unknown","-16.9961055","65.60386"
"39","Lake Myvatn, S-basin",NA,NA,"32",NA,"52","cm",NA,NA,"Salvelinus alpinus","46","7/10/1973","7/21/1973","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"plankton","+","unknown","-16.9961055","65.60386"
"40","Lake Myvatn, S-basin",NA,NA,"10",NA,"45","cm",NA,NA,"Salvelinus alpinus","15","7/21/1972","7/21/1972","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"plankton",NA,"unknown","-16.9961055","65.60386"
"41","Lake Myvatn, S-basin",NA,NA,"32",NA,"52","cm",NA,NA,"Salvelinus alpinus","31","8/16/1973","8/16/1973","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"plankton",NA,"unknown","-16.9961055","65.60386"
"42","Lake Myvatn, S-basin",NA,NA,"10",NA,"45","cm",NA,NA,"Salvelinus alpinus","14","9/28/1972","9/28/1972","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"plankton","70","unknown","-16.9961055","65.60386"
"43","Lake Myvatn, S-basin",NA,NA,"32",NA,"52","cm",NA,NA,"Salvelinus alpinus","49","9/30/1973","10/2/1973","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"plankton","58","unknown","-16.9961055","65.60386"
"44","Lake Myvatn, N-basin",NA,NA,"32",NA,"52","cm",NA,NA,"Salvelinus alpinus","31","6/23/1973","7/4/1973","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"plankton",NA,"unknown","-16.9961055","65.60386"
"45","Lake Myvatn, N-basin",NA,NA,"32",NA,"52","cm",NA,NA,"Salvelinus alpinus","15","9/20/1973","9/20/1973","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"plankton",NA,"unknown","-16.9961055","65.60386"
"46","Lake Myvatn, S-basin",NA,NA,"32",NA,"52","cm",NA,NA,"Salvelinus alpinus","27","5/6/1973","5/6/1973","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"surface_food","97","unknown","-16.9961055","65.60386"
"47","Lake Myvatn, S-basin",NA,NA,"10",NA,"45","cm",NA,NA,"Salvelinus alpinus","14","6/20/1972","6/28/1972","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"surface_food","6","unknown","-16.9961055","65.60386"
"48","Lake Myvatn, S-basin",NA,NA,"32",NA,"52","cm",NA,NA,"Salvelinus alpinus","46","7/10/1973","7/21/1973","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"surface_food","14","unknown","-16.9961055","65.60386"
"49","Lake Myvatn, S-basin",NA,NA,"10",NA,"45","cm",NA,NA,"Salvelinus alpinus","15","7/21/1972","7/21/1972","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"surface_food","7","unknown","-16.9961055","65.60386"
"50","Lake Myvatn, S-basin",NA,NA,"32",NA,"52","cm",NA,NA,"Salvelinus alpinus","31","8/16/1973","8/16/1973","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"surface_food","8","unknown","-16.9961055","65.60386"
"51","Lake Myvatn, S-basin",NA,NA,"10",NA,"45","cm",NA,NA,"Salvelinus alpinus","14","9/28/1972","9/28/1972","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"surface_food",NA,"unknown","-16.9961055","65.60386"
"52","Lake Myvatn, S-basin",NA,NA,"32",NA,"52","cm",NA,NA,"Salvelinus alpinus","49","9/30/1973","10/2/1973","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"surface_food",NA,"unknown","-16.9961055","65.60386"
"53","Lake Myvatn, N-basin",NA,NA,"32",NA,"52","cm",NA,NA,"Salvelinus alpinus","31","6/23/1973","7/4/1973","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"surface_food","17","unknown","-16.9961055","65.60386"
"54","Lake Myvatn, N-basin",NA,NA,"32",NA,"52","cm",NA,NA,"Salvelinus alpinus","15","9/20/1973","9/20/1973","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"surface_food","1","unknown","-16.9961055","65.60386"
"55","Lake Myvatn, S-basin",NA,NA,"7",NA,NA,"cm",NA,NA,"Gasterosteus aculeatus","20","5/6/1973","5/6/1973","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","table 2",NA,"radix_peregra",NA,"unknown","-16.9961055","65.60386"
"56","Lake Myvatn, S-basin",NA,NA,"7",NA,NA,"cm",NA,NA,"Gasterosteus aculeatus","32","6/20/1972","6/20/1972","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","table 2",NA,"radix_peregra",NA,"unknown","-16.9961055","65.60386"
"57","Lake Myvatn, S-basin",NA,NA,"7",NA,NA,"cm",NA,NA,"Gasterosteus aculeatus","17","6/28/1973","6/28/1973","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","table 2",NA,"radix_peregra",NA,"unknown","-16.9961055","65.60386"
"58","Lake Myvatn, S-basin",NA,NA,"7",NA,NA,"cm",NA,NA,"Gasterosteus aculeatus","61","7/10/1973","7/10/1973","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","table 2",NA,"radix_peregra",NA,"unknown","-16.9961055","65.60386"
"59","Lake Myvatn, S-basin",NA,NA,"7",NA,NA,"cm",NA,NA,"Gasterosteus aculeatus","16","7/21/1973","8/16/1973","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","table 2",NA,"radix_peregra",NA,"unknown","-16.9961055","65.60386"
